datetime,open,high,low,close,volume
2026-06-29 06:00:00,4000.2483570765057,4000.409563492137,4000.1717289863245,4000.280328354905,29
2026-06-29 06:01:00,4000.17922492592,4000.5042054547166,3999.683584347769,3999.973689897735,39
2026-06-29 06:02:00,4000.5030691949705,4000.883156126866,4000.0338523423684,4000.7562107631434,88
2026-06-29 06:03:00,4001.2645841231742,4001.4193167344342,4000.8393373045283,4001.091349153531,26
2026-06-29 06:04:00,4001.1475074358127,4001.2311210802563,4001.125811207498,4001.341398875918,17
2026-06-29 06:05:00,4001.030438957338,4001.5313970994175,4000.8485619437706,4001.115877829712,71
2026-06-29 06:06:00,4001.820045365092,4002.410686673514,4001.6621778231456,4001.690799903123,13
2026-06-29 06:07:00,4002.203762729668,4002.5191768390496,4001.9876808851855,4002.55882490819,69
2026-06-29 06:08:00,4001.969025536701,4002.07203310821,4001.916439888643,4001.7302981703497,26
2026-06-29 06:09:00,4002.2403055584937,4002.4036899544053,4001.678130864675,4002.4241363932156,49
2026-06-29 06:10:00,4002.0085967120876,4002.019631118016,4001.67631536766,4002.208713175696,67
2026-06-29 06:11:00,4001.7757318353024,4002.3243111192387,4001.5924172489076,4001.641607793487,7
2026-06-29 06:12:00,4001.8967129710854,4001.9673636208195,4001.658524060841,4002.1752060310982,58
2026-06-29 06:13:00,4000.9400728487567,4001.2859827340653,4000.671751324454,4000.8900635458367,49
2026-06-29 06:14:00,4000.0776139325,4000.242047064912,3999.7172573324833,4000.1353526583557,53
2026-06-29 06:15:00,3999.7964701678798,4000.1289769693894,3999.4870625112617,3999.848534535634,65
2026-06-29 06:16:00,3999.290054607712,3999.6809068407233,3998.7384194237834,3999.263192859418,62
2026-06-29 06:17:00,3999.44717827401,3999.9450233562343,3999.1490001842667,3999.609339928642,17
2026-06-29 06:18:00,3998.993166236249,3999.1170189993054,3998.3978714273553,3999.15186398036,43
2026-06-29 06:19:00,3998.2870143855816,3998.2936118827765,3997.7761594109347,3997.937307990934,25
2026-06-29 06:20:00,3999.0198387700425,3999.1019701480836,3998.8947324614282,3999.280706818618,3
2026-06-29 06:21:00,3998.9069506197993,3999.4469618049084,3998.348593491013,3998.574452222192,79
2026-06-29 06:22:00,3998.940714722143,3999.465048768681,3998.870894883412,3999.1472239630116,29
2026-06-29 06:23:00,3998.2283406290367,3998.5867884903387,3997.737870803942,3998.4536816564023,32
2026-06-29 06:24:00,3997.956149266774,3998.3164593830343,3997.727775290688,3997.737955980731,26
2026-06-29 06:25:00,3998.011610561629,3998.4106325663565,3997.4848259693617,3997.929447704038,16
2026-06-29 06:26:00,3997.4361137729175,3997.5413365400914,3996.915279758853,3997.21497283922,25
2026-06-29 06:27:00,3997.6239627820905,3998.1726099496454,3997.14040754202,3997.580978576033,54
2026-06-29 06:28:00,3997.323643437131,3997.574905752066,3996.849625175347,3997.262036580294,28
2026-06-29 06:29:00,3997.1777965622346,3997.407679679184,3996.9949890787757,3997.3337286686883,73
2026-06-29 06:30:00,3996.87694325612,3997.1882938792896,3996.8283916862893,3997.1390050053437,56
2026-06-29 06:31:00,3997.803082348374,3997.8312619284393,3997.561294241115,3998.082219110532,65
2026-06-29 06:32:00,3997.796333736005,3997.896103757259,3997.6922190270134,3997.6839001306894,93
2026-06-29 06:33:00,3997.267478271527,3997.7102984413827,3996.8505076181855,3997.225633896778,86
2026-06-29 06:34:00,3997.678750727579,3997.728429928334,3997.4710908916563,3997.3420630891346,80
2026-06-29 06:35:00,3997.0683289025933,3997.430220168273,3996.4829627820773,3996.907154889294,41
2026-06-29 06:36:00,3997.1727607000958,3997.3199701659046,3996.7881774536886,3997.3657310267154,51
2026-06-29 06:37:00,3996.192925638156,3996.4265030065812,3995.699437299975,3996.5160422028657,71
2026-06-29 06:38:00,3995.5288326137065,3995.702048855769,3995.4493178100615,3995.2819628393304,78
2026-06-29 06:39:00,3995.6272632316413,3995.8406668615203,3995.110054542278,3995.508770379811,29
2026-06-29 06:40:00,3995.996496521639,3996.4279240647497,3995.442842207331,3995.991215370247,83
2026-06-29 06:41:00,3996.082180662234,3996.260453691608,3995.7899435109425,3996.1382128939977,19
2026-06-29 06:42:00,3996.02435652104,3996.364199305218,3995.660604758389,3995.8624358170555,66
2026-06-29 06:43:00,3995.873804673245,3996.1594349145644,3995.4149187927032,3995.958616882138,41
2026-06-29 06:44:00,3995.1345436780616,3995.532746377279,3995.029640501705,3995.0397758086474,45
2026-06-29 06:45:00,3994.774621573864,3995.336719417459,3994.4730819279857,3994.7717311196884,15
2026-06-29 06:46:00,3994.5443021883843,3994.9838454467103,3994.305104371721,3994.653559037985,3
2026-06-29 06:47:00,3995.0728633014937,3995.201827528648,3994.985038906196,3995.074147755456,11
2026-06-29 06:48:00,3995.244672446278,3995.2633823273145,3995.024151792903,3995.1573952681724,53
2026-06-29 06:49:00,3994.3631523685963,3994.520510795176,3994.322248982965,3994.341230407811,46
